"pu_month","pu_hour","airport","num_trips_airport","avg_trip_dist","avg_tip_amount","avg_fare_amount"
1,0,"N",194497,2.70385450675332,1.68597860121236,11.4560057481606
1,0,"Y",13350,12.853656928839,5.83023745318352,37.1528734082397
2,0,"N",185803,2.76801569404154,2.01195023761726,11.6904965474185
2,0,"Y",11246,12.9657175884759,5.99770229414903,37.5479886181754
3,0,"N",230547,2.78760378577904,2.09496128772007,11.8675782812181
3,0,"Y",15287,13.1207359194086,6.05579708248839,37.8563151697521
4,0,"N",192191,2.80864343283504,2.04706011207601,11.8183489861648
4,0,"Y",15382,13.0770979066441,5.8604947341048,37.8589026134443
5,0,"N",199505,2.79585318663693,2.06100979925315,11.8844086614371
5,0,"Y",18026,12.753760124265,5.71542549650505,37.2836602685011
6,0,"N",208929,2.80989747713338,2.06737360538748,12.0261275840118
6,0,"Y",18874,12.922967574441,5.8952087527816,37.6494129490304
7,0,"N",165585,2.8585097683969,2.01123797445421,12.1137592173204
7,0,"Y",18442,13.0092381520442,5.57964103676391,37.9284735928858
8,0,"N",167375,2.809468678118,2.00256328603435,11.9437557580284
8,0,"Y",18854,12.6662299777236,5.28711626180121,37.1656507902832
9,0,"N",183720,2.78577384062704,2.05300359242325,11.9997003048117
9,0,"Y",14339,13.1239807517958,5.65561545435525,38.2205607085571
10,0,"N",189189,2.78452277880849,2.11334623048909,12.1205397776826
10,0,"Y",15958,13.2880517608723,5.70385699962401,38.6955558340644
11,0,"N",190875,2.7408591486575,2.10658231827112,11.9530201440733
11,0,"Y",11350,13.5737383259912,5.87282731277533,39.1093215859031
12,0,"N",201635,2.82640171597193,2.13788851141915,12.1788444466486
12,0,"Y",15387,12.7679469682199,5.63285045817898,37.2427263274192
1,1,"N",143999,2.77300960423336,1.6719841804457,11.4678827630747
1,1,"Y",5238,13.1723520427644,5.36528827796869,38.1274207712868
2,1,"N",134630,2.76832533610637,1.96037844462601,11.4115501745525
2,1,"Y",4510,13.441733924612,5.64915077605322,38.8120399113082
3,1,"N",164159,2.80942245018549,2.02209930616049,11.6223562521702
3,1,"Y",6120,14.0213120915033,5.57383986928105,40.2430980392157
4,1,"N",134308,2.83311321738095,1.98827888137713,11.6658707597463
4,1,"Y",7918,13.7133606971457,5.39164814347057,39.4629754988634
5,1,"N",137115,2.84230988586223,1.97964701163257,11.7515611712796
5,1,"Y",9548,13.3991191872643,5.37414537075827,38.8878990364474
6,1,"N",149638,2.83944278859648,2.00598477659418,11.825041099186
6,1,"Y",10184,13.3785064807541,5.55940985860173,38.7120001963865
7,1,"N",116230,2.87605187989332,1.93573345951992,11.9040455132066
7,1,"Y",9518,13.3980888842194,5.41212544652238,38.9890523219164
8,1,"N",119132,2.88501829902965,1.95986107846758,11.9888746936172
8,1,"Y",10672,12.8957505622189,5.07256840329835,37.8033367691154
9,1,"N",133936,2.81245020009557,2.0017241070362,11.7472439075379
9,1,"Y",5235,14.0757096466094,5.17520916905444,40.5016370582617
10,1,"N",131962,2.80271547869841,2.01003811703369,11.7815581000591
10,1,"Y",5496,13.3532896652111,4.82452510917031,39.0484625181951
11,1,"N",147632,2.75189877533326,2.01909491167227,11.6655916738918
11,1,"Y",3737,13.5061573454643,4.87853090714477,39.0039122290607
12,1,"N",139322,2.87760533153414,2.07174861113105,11.9742275448242
12,1,"Y",6118,12.790019614253,5.23335894083034,37.392701863354
1,2,"N",107637,2.84830207084924,1.63098878638386,11.5622024954244
1,2,"Y",1765,13.2653257790368,4.67841359773371,39.1783909348442
2,2,"N",98395,2.8157484628284,1.89004583566238,11.42021007165
2,2,"Y",1389,13.675773938085,5.53452123830094,40.0668106551476
3,2,"N",109503,2.87298822863301,1.9487143731222,11.639460654046
3,2,"Y",1809,13.1015588723051,4.72849640685462,38.7900497512438
4,2,"N",95368,2.90135852696921,1.9199027975841,11.6513218270279
4,2,"Y",2961,14.0655488010807,5.21558932792975,40.7988922661263
5,2,"N",94951,2.92054712430622,1.89203357521248,11.736043538246
5,2,"Y",3525,13.3890184397163,5.02569929078014,39.1741787234043
6,2,"N",109439,2.9198491397034,1.93703990350789,11.861419786365
6,2,"Y",3580,13.1709916201117,5.01833798882682,38.8335055865922
7,2,"N",83630,2.94304197058472,1.8799512136793,11.9236574195863
7,2,"Y",4135,13.586084643289,5.16204111245466,39.8750931076179
8,2,"N",87140,2.9368185678219,1.89612497131053,12.0186050034427
8,2,"Y",4156,13.2444417709336,4.76416987487969,39.0191554379211
9,2,"N",97501,2.87060625019231,1.92893898524118,11.6933849909232
9,2,"Y",1735,14.2735619596542,5.19077809798271,41.4408357348703
10,2,"N",95223,2.87344769645989,1.9354799785766,11.7627043886456
10,2,"Y",1760,14.0980909090909,5.02739772727273,41.7991534090909
11,2,"N",98406,2.83657520882873,1.93631018433835,11.6490013820296
11,2,"Y",1474,13.9162211668928,4.3960447761194,40.6074491180461
12,2,"N",96062,2.96116934896213,2.01487799546126,11.989304615769
12,2,"Y",2627,12.4015911686334,4.6528701941378,37.0463760944043
1,3,"N",75968,2.96561762847515,1.53878461983993,11.7983765532856
1,3,"Y",2086,13.5301821668265,4.99759348034516,41.0502540747843
2,3,"N",68717,2.97299154503252,1.81424480114091,11.7681295749232
2,3,"Y",1825,14.0368328767123,6.06529863013699,41.9795945205479
3,3,"N",86166,2.98778694612724,1.87334679571989,11.9596391848293
3,3,"Y",2082,13.6856964457253,6.03253602305475,41.8401729106628
4,3,"N",65993,3.047966299456,1.83998848362705,18.0060570060461
4,3,"Y",2156,13.8680983302412,5.91952690166976,41.9363729128015
5,3,"N",65067,3.06643352236925,1.79031306192079,11.9952671861312
5,3,"Y",2450,13.4650244897959,5.54667346938776,41.628612244898
6,3,"N",74218,3.07544584871594,1.83754143199763,12.2377179390444
6,3,"Y",2594,13.0740747879722,5.51249807247494,40.4004279105628
7,3,"N",56028,3.08251499250375,1.76006639537374,12.2255839937174
7,3,"Y",2586,13.5234725444702,5.44172853828306,41.507498066512
8,3,"N",59793,3.07507852089709,1.77762129346245,12.2180989413476
8,3,"Y",2946,13.5795723014257,5.25261710794297,41.3022708757637
9,3,"N",65781,3.01005214271598,1.8083083261124,11.9776395919794
9,3,"Y",1906,13.4603672612802,5.41712486883526,41.4189979013641
10,3,"N",64758,3.00781602273078,1.84011720559622,12.0746063806788
10,3,"Y",2143,13.4478908072795,5.99737750816612,40.9867802146524
11,3,"N",66351,2.98863694593902,1.83572892646682,11.982437642236
11,3,"Y",2190,13.2430228310502,5.43354794520548,40.3589726027397
12,3,"N",64291,3.0775102269369,1.88785350982253,12.2444010825777
12,3,"Y",2693,13.3304678796881,5.59098403267731,40.4602562198292
1,4,"N",55975,3.17858669048682,1.31928092898615,12.2587244305494
1,4,"Y",5163,13.2134572922719,6.39390470656595,40.2769068371102
2,4,"N",49176,3.20633906783797,1.51218541564991,12.3335293639174
2,4,"Y",5119,13.2589587810119,6.86199062316859,40.3336706387966
3,4,"N",61236,3.24372444313802,1.61226076164348,12.563427232347
3,4,"Y",6020,13.1703338870432,6.96886212624585,40.2139667774086
4,4,"N",47527,3.25274959496707,1.57176362909504,12.5597311002167
4,4,"Y",6130,13.1034779771615,6.59095269168026,39.6705970636215
5,4,"N",48825,3.26924874551971,1.5644458781362,12.619035125448
5,4,"Y",6841,12.8649378745797,6.69541587487209,39.8021985089899
6,4,"N",52058,3.2788086365208,1.59204906066311,12.6680612009682
6,4,"Y",6450,12.7093100775194,6.57350852713178,39.4199968992248
7,4,"N",41077,3.34425420551647,1.48389658446332,12.9675684689729
7,4,"Y",5852,12.959506151743,6.18137047163363,40.1623496240601
8,4,"N",42539,3.34397893697548,1.54348480218153,12.9836679282541
8,4,"Y",6176,12.9403691709845,6.44312823834197,39.9490123056995
9,4,"N",45472,3.32648750879662,1.60882147255454,12.9980720003519
9,4,"Y",5913,12.9211144934889,6.42167596820565,39.3885912396415
10,4,"N",45906,3.31091425957391,1.58019409227552,12.8574763647453
10,4,"Y",6370,12.9238131868132,6.59807849293564,39.7864678178964
11,4,"N",47215,3.18455787355713,1.59968929365668,12.7039510748703
11,4,"Y",5703,13.0811818341224,6.7112993161494,39.9402945817991
12,4,"N",46242,3.33891051425111,1.65312356731975,13.1686408459842
12,4,"Y",6388,12.9206371321227,6.81042736380714,40.3470882905448
1,5,"N",63355,2.54306053192329,1.10797774445584,10.2350344882014
1,5,"Y",11347,13.8374900854852,6.88126553273993,41.738886049176
2,5,"N",53001,2.64929171147714,1.32343993509556,10.5525841021868
2,5,"Y",11173,14.1537948626152,7.43048778304842,42.2596760046541
3,5,"N",57737,2.72319188735127,1.36117913989296,10.8569717858566
3,5,"Y",12502,13.8422156454967,7.2266717325228,41.59898256279
4,5,"N",54636,2.58652262244674,1.41720074676038,10.4598971374186
4,5,"Y",12753,13.8878679526386,7.04523249431506,41.6332855014506
5,5,"N",55636,2.52251869293263,1.40921633474729,10.392582680279
5,5,"Y",14037,13.5330861295149,6.94527676854029,40.9595697086272
6,5,"N",53664,2.58979371645796,1.42697823494335,10.7300309332141
6,5,"Y",13562,13.4051754903407,6.71758295236691,40.4146003539301
7,5,"N",48840,2.77152497952498,1.36974058149058,11.2600714578215
7,5,"Y",11415,13.2363626806833,6.51045291283399,40.336667542707
8,5,"N",46488,2.79674991395629,1.38022543452074,11.4287994751334
8,5,"Y",11411,13.3452291648409,6.51950311103321,40.3141565156428
9,5,"N",47241,2.7499959780699,1.43187316102538,11.6834563197223
9,5,"Y",12214,13.2745644342558,6.54782053381366,40.356007859833
10,5,"N",51195,2.80513800175798,1.48143529641567,11.6544324641078
10,5,"Y",13397,13.3601156975442,6.647871911622,40.5255699037098
11,5,"N",48513,2.67316842908087,1.47748747758333,11.6719798816812
11,5,"Y",13344,13.4795368705036,6.7809817146283,40.7237942146283
12,5,"N",45947,2.82176028902866,1.44433151239472,11.9600128408819
12,5,"Y",12818,13.3856576689031,6.8092019035731,40.6691777188329
1,6,"N",161546,2.19970893739245,1.17692539586248,9.44851943099798
1,6,"Y",15206,13.9938326976194,6.88242470077601,42.6441161383664
2,6,"N",135645,2.2993618636883,1.42539592318183,9.71719562092226
2,6,"Y",15084,14.1240632458234,7.35344537258022,42.9339770617873
3,6,"N",143049,2.39298974477277,1.4721089976162,10.0550997210746
3,6,"Y",18269,13.7970463626909,7.1164070282993,41.969046472166
4,6,"N",138577,2.25598165640763,1.5020094965254,9.69796185514191
4,6,"Y",17874,13.6392956249301,6.78467606579389,41.4868837417478
5,6,"N",141279,2.31211623808209,1.50860963058912,9.89826166663128
5,6,"Y",20335,13.3863452176051,6.68270961396607,40.8596906810917
6,6,"N",128829,2.26666301841977,1.50777658756957,9.88441709552973
6,6,"Y",18820,13.3651349628055,6.6097821466525,40.764825717322
7,6,"N",122796,2.346269259585,1.48740235838301,10.1858097169289
7,6,"Y",16964,13.4631625795803,6.4931248526291,40.9525536430087
8,6,"N",114261,2.36653556331557,1.48243197591479,10.2387755227068
8,6,"Y",16747,13.4644730399475,6.35027527318326,40.8663838299397
9,6,"N",118174,2.36969604143043,1.53761360366917,10.5557212246349
9,6,"Y",16887,13.2658891454965,6.38994611239415,40.7822413691005
10,6,"N",127183,2.39801616568252,1.54836125897329,10.4493459817743
10,6,"Y",18135,13.1158279569892,6.61004852495175,40.5357275985663
11,6,"N",115051,2.31202345046979,1.54101268133263,10.4700878740732
11,6,"Y",16218,13.2679306942903,6.57913799482057,40.806076581576
12,6,"N",109433,2.37834684236017,1.52500041121051,10.486245556642
12,6,"Y",17339,13.2546000346041,6.73978314781706,40.9209752580887
1,7,"N",284360,2.07017755661837,1.39711555774371,9.83807592488395
1,7,"Y",18355,13.6908362843912,6.97776028330155,41.9884908744211
2,7,"N",247231,2.12768572711351,1.67000707840036,10.0780455929879
2,7,"Y",18216,13.6245761967501,7.27424626701801,42.0524335748792
3,7,"N",257990,2.17667010349238,1.67855040893058,10.1429743400907
3,7,"Y",21484,13.4299180785701,6.9158997393409,41.6441123626885
4,7,"N",256266,2.10936101550732,1.73082309007047,10.0348350542015
4,7,"Y",20473,13.1075738777903,6.64817662286915,40.7622815415425
5,7,"N",264119,2.13454359587913,1.73654572370787,10.2132369500112
5,7,"Y",23378,13.0240114637694,6.78560612541706,40.9109072632389
6,7,"N",224837,2.1286274501083,1.72983463575835,10.1753717582071
6,7,"Y",20287,12.8865529649529,6.61066002858974,40.1673036920195
7,7,"N",199039,2.19210998849472,1.69791819693628,10.32137792091
7,7,"Y",19428,13.024100782376,6.4083034795141,40.3654277331686
8,7,"N",185548,2.19508919524867,1.68607939724492,10.2444930152845
8,7,"Y",18918,12.9147362300455,6.13581879691299,39.7579712443176
9,7,"N",224162,2.16117879033913,1.77030179066925,10.6287356911519
9,7,"Y",19710,12.9104718417047,6.51378437341451,40.8200563165906
10,7,"N",252860,2.15009546784782,1.77401949695484,10.4335787392233
10,7,"Y",21031,12.8200912938044,6.56651609528791,40.5426365840902
11,7,"N",225118,2.08850238541565,1.76905191943781,10.4042875736281
11,7,"Y",18333,12.8753084601538,6.61785577919599,40.3842006218295
12,7,"N",210151,2.12602714238809,1.73103259085134,10.304490152319
12,7,"Y",19748,13.0399675916549,6.55818361353048,40.7400491188981
1,8,"N",352178,1.92178236573551,1.528184497612,11.2559098807989
1,8,"Y",19602,12.9790628507295,6.41857310478523,40.544414345475
2,8,"N",313113,1.9778921986631,1.82567309565556,10.5273816800963
2,8,"Y",19248,12.7363762468828,6.79325436408978,40.1510364713217
3,8,"N",329798,2.01430169376406,1.82517968574703,10.9793529675741
3,8,"Y",23267,12.8110082950101,6.63152103838054,40.417916792023
4,8,"N",318930,1.988355532562,1.86473439312702,10.55664506318
4,8,"Y",21993,12.5027499658982,6.42204155867776,39.4824466875824
5,8,"N",325143,2.01655653051119,1.88464475630722,10.7061713461462
5,8,"Y",24461,12.4121932872736,6.44738440783288,39.6520739135767
6,8,"N",291568,2.02056556275037,1.87297333726609,10.7191877366515
6,8,"Y",22287,12.323653250774,6.40876834028806,39.3834428141966
7,8,"N",265499,2.09395572111383,1.86618650164407,11.0077583719713
7,8,"Y",20936,12.3712151318303,6.09662160871227,39.2864940771876
8,8,"N",248777,2.10874807558577,1.85719548028958,10.8224573413137
8,8,"Y",21175,12.3647504132231,5.94579976387249,38.8466054309327
9,8,"N",271660,2.04199521460649,1.92100743576529,11.1728558124126
9,8,"Y",20489,12.1626487383474,6.18917516716287,39.4275313582898
10,8,"N",314576,2.00202065637557,1.89939105335436,10.8253770789889
10,8,"Y",22223,12.2510250641228,6.20989875354363,39.3870643027494
11,8,"N",280747,1.96485689962849,1.89571532376125,10.7995346343861
11,8,"Y",20169,12.3282319401061,6.28189548316724,39.3005567950816
12,8,"N",272719,1.98742658193965,1.83830323519813,10.4943313447175
12,8,"Y",21875,12.3940205714286,6.35906285714286,39.5736182857143
1,9,"N",343962,1.87582959745553,1.50606817032114,10.4344835476012
1,9,"Y",20395,12.3242598676146,6.16088747241971,38.5386624172591
2,9,"N",314476,1.93003593278978,1.79565696587339,10.5507381803381
2,9,"Y",20318,12.3109804114578,6.65458608130722,38.9911000098435
3,9,"N",335855,1.95842205713775,1.81473493025264,10.701529558887
3,9,"Y",23993,12.0209823698579,6.39357896053015,38.3157187513025
4,9,"N",320898,1.96097822360999,1.838006220045,10.7901062954584
4,9,"Y",23159,11.9608588453733,6.2285042532061,37.8684887084935
5,9,"N",326102,1.94224463511417,1.86323598138006,10.8162324671422
5,9,"Y",25431,11.9180177735834,6.28461051472612,38.3950178915497
6,9,"N",298056,1.95427849129023,1.85128962342647,10.920356644389
6,9,"Y",23594,11.8564435873527,6.1800661185047,38.1335068237688
7,9,"N",275634,2.01299502238476,1.81946686548104,11.074427429127
7,9,"Y",21923,11.8538242941203,5.96702914747069,38.038302239657
8,9,"N",264136,2.0395104415907,1.80983186691704,10.9858519853409
8,9,"Y",21433,11.6580618672141,5.6903597256567,37.1840535622638
9,9,"N",275274,1.99594088072248,1.8912896241563,11.3308235794154
9,9,"Y",21735,11.9048097538532,6.22615458937198,38.9230816655164
10,9,"N",318570,1.95808437705999,1.88158922685752,11.0111509872242
10,9,"Y",22869,11.7485268267086,6.13619790983427,37.9677108749836
11,9,"N",290979,1.92377958546837,1.87153619333354,10.9279803009839
11,9,"Y",20655,11.8974640522876,6.11864294359719,38.1682929072864
12,9,"N",288414,1.94487174686388,1.80681405895692,10.6324445068547
12,9,"Y",22340,11.9355102954342,5.96370814682184,38.116996866607
1,10,"N",337230,1.88312042226374,1.41957100495211,10.3253230436201
1,10,"Y",22597,12.1351104128867,6.13659689339293,37.7457295216179
2,10,"N",306656,1.93360557106334,1.71552332255035,10.3932193076281
2,10,"Y",21658,11.9834310647336,6.61232062055591,37.7195567457752
3,10,"N",334628,1.95807640125752,1.74262270341992,10.6168747683995
3,10,"Y",27378,11.9873500620937,6.24028818759588,37.7253013368398
4,10,"N",322562,1.96256046899511,1.76657473601974,10.7251274793683
4,10,"Y",26144,12.0870031364749,5.94812041003672,37.7932500764994
5,10,"N",324379,1.93704339676736,1.80390999417348,10.8313089318359
5,10,"Y",28984,11.8777004554237,6.0167161192382,37.7108963566105
6,10,"N",301427,2.10075351577662,1.79297199653647,12.0882763322463
6,10,"Y",25619,11.9007299270073,5.94158515164526,37.9318142784652
7,10,"N",273883,2.02378982996389,1.72320403237879,11.0096155292588
7,10,"Y",24240,12.0337211221122,5.60521163366337,38.2570082508251
8,10,"N",260771,2.04051481951597,1.71283252355515,10.9537006415591
8,10,"Y",25266,11.7909593920684,5.33190888941661,37.2741886329455
9,10,"N",278988,1.9867746999871,1.81916483863105,11.2227889371586
9,10,"Y",25226,11.8127772932688,5.83685285023389,43.7772013002458
10,10,"N",319572,1.94669795851952,1.81047782659307,11.0139958444419
10,10,"Y",26295,11.7656421372885,5.86060467769538,37.4134306902453
11,10,"N",298853,1.92138395799942,1.8020911284143,10.870793433561
11,10,"Y",24260,11.7117971970322,6.03395754328112,37.2649567188788
12,10,"N",303186,1.99037712823151,1.74465763590667,10.6643641856814
12,10,"Y",24707,11.7571461529121,5.95946573845469,37.5863560934148
1,11,"N",353773,1.88113021626862,1.39489353342398,10.2056549256161
1,11,"Y",20177,12.1849219408237,6.39210487188383,38.0830187837637
2,11,"N",318061,1.93805534158542,1.70501897434769,10.8119581149528
2,11,"Y",20368,11.9621062450903,6.7471145915161,37.8670438923802
3,11,"N",352228,1.95254321064765,1.74128882428427,10.7400237346264
3,11,"Y",26078,11.8168218421658,6.44549812102155,37.6110211672674
4,11,"N",337605,1.9507245745768,1.75757974556064,10.8999280816339
4,11,"Y",27395,12.0394447891951,6.12064829348421,38.0107402810732
5,11,"N",343065,1.92205555798464,1.79925428125865,10.9816845787241
5,11,"Y",30062,11.971737409354,6.22145233184752,38.4042591976582
6,11,"N",316607,1.93664410452075,1.78831734611048,11.0677553244243
6,11,"Y",28108,12.1381193966131,6.21410594848442,38.7624551729045
7,11,"N",287672,2.00479938958258,1.70223149976362,11.0566747545816
7,11,"Y",25727,12.2123605550589,5.92422085746492,38.8010362654021
8,11,"N",271600,2.03195073637703,1.68603847569956,10.9727935935199
8,11,"Y",26581,11.928412776043,5.70112185395583,38.0482976562206
9,11,"N",292595,1.98892831388096,1.82375980450794,11.442619183513
9,11,"Y",26623,12.0586226195395,6.05411185816775,38.6551617022875
10,11,"N",332850,1.94868514345801,1.82314976716239,11.3169765660207
10,11,"Y",27858,11.993123698758,6.15496338574198,38.4740211070429
11,11,"N",319882,1.91922768395846,1.79673723435517,11.0295659962111
11,11,"Y",24008,11.6541669443519,6.0629865044985,37.5527890703099
12,11,"N",329084,1.90844453087965,1.7437945327029,10.8637864800476
12,11,"Y",25111,11.7783294173868,6.09187049500219,38.0173875990602
1,12,"N",374328,1.88252030304973,1.36651225663055,10.3026722286337
